YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2025-03,WEEKENDS/HOLIDAY,23,TRAIN,EW2/DT32,4634,13302
2025-03,WEEKDAY,19,TRAIN,TE13,5489,4011
2025-03,WEEKDAY,23,TRAIN,TE6,1137,8338
2025-03,WEEKDAY,9,TRAIN,TE1,4141,6152
2025-03,WEEKENDS/HOLIDAY,14,TRAIN,CC19/DT9,6192,5903
2025-03,WEEKDAY,12,TRAIN,DT18,14877,18262
2025-03,WEEKENDS/HOLIDAY,21,TRAIN,SE5,475,1987
2025-03,WEEKENDS/HOLIDAY,6,TRAIN,CC3,164,1694
2025-03,WEEKENDS/HOLIDAY,0,TRAIN,NS19,286,1343
2025-03,WEEKDAY,15,TRAIN,PE1,2732,3518
2025-03,WEEKDAY,15,TRAIN,SW7,1971,2741
2025-03,WEEKDAY,8,TRAIN,PW2,44,127
2025-03,WEEKDAY,9,TRAIN,BP10,4513,2211
2025-03,WEEKENDS/HOLIDAY,0,TRAIN,EW5,158,1749
2025-03,WEEKENDS/HOLIDAY,16,TRAIN,CC17/TE9,3270,3066
2025-03,WEEKENDS/HOLIDAY,11,TRAIN,CC8,5027,3570
2025-03,WEEKDAY,7,TRAIN,DT7,6888,14321
2025-03,WEEKENDS/HOLIDAY,19,TRAIN,EW31,2360,2437
2025-03,WEEKENDS/HOLIDAY,22,TRAIN,SE5,298,1547
2025-03,WEEKDAY,17,TRAIN,EW33,16368,10632
2025-03,WEEKENDS/HOLIDAY,10,TRAIN,BP2,2191,806
2025-03,WEEKDAY,6,TRAIN,BP6/DT1,57342,27194
2025-03,WEEKENDS/HOLIDAY,0,TRAIN,EW2/DT32,417,3165
2025-03,WEEKENDS/HOLIDAY,22,TRAIN,PE7,297,2235
2025-03,WEEKENDS/HOLIDAY,11,TRAIN,DT3,6151,2484
2025-03,WEEKENDS/HOLIDAY,17,TRAIN,NS21/DT11,37921,40024
2025-03,WEEKDAY,19,TRAIN,DT27,13968,14222
2025-03,WEEKENDS/HOLIDAY,15,TRAIN,EW11,10036,11609
2025-03,WEEKENDS/HOLIDAY,16,TRAIN,PE6,4703,4226
2025-03,WEEKENDS/HOLIDAY,9,TRAIN,DT18,1364,4275
2025-03,WEEKDAY,21,TRAIN,NS3,10224,24949
2025-03,WEEKDAY,6,TRAIN,DT5,13268,4458
2025-03,WEEKENDS/HOLIDAY,17,TRAIN,DT24,2893,3076
2025-03,WEEKENDS/HOLIDAY,14,TRAIN,TE6,5440,5109
2025-03,WEEKDAY,19,TRAIN,TE22,3295,7125
2025-03,WEEKENDS/HOLIDAY,14,TRAIN,EW11,10169,12183
2025-03,WEEKDAY,23,TRAIN,DT29,792,5199
2025-03,WEEKDAY,15,TRAIN,EW23,42580,41628
2025-03,WEEKDAY,14,TRAIN,NS27/CE2/TE20,3567,4974
2025-03,WEEKENDS/HOLIDAY,23,TRAIN,CC6,13757,373
2025-03,WEEKDAY,10,TRAIN,BP9,3364,1989
2025-03,WEEKDAY,18,TRAIN,TE8,21451,28696
2025-03,WEEKENDS/HOLIDAY,6,TRAIN,CC2,141,402
2025-03,WEEKDAY,22,TRAIN,NE1/CC29,52377,10448
2025-03,WEEKENDS/HOLIDAY,22,TRAIN,CC4/DT15,13187,1754
2025-03,WEEKDAY,20,TRAIN,TE7,3727,7041
2025-03,WEEKDAY,14,TRAIN,TE6,10150,7139
2025-03,WEEKDAY,19,TRAIN,EW30,11573,2560
2025-03,WEEKENDS/HOLIDAY,9,TRAIN,NE4/DT19,12278,27287
2025-03,WEEKDAY,9,TRAIN,SW8,2522,1233
2025-03,WEEKENDS/HOLIDAY,6,TRAIN,TE27,1285,234
2025-03,WEEKDAY,22,TRAIN,PW3,238,1257
2025-03,WEEKDAY,11,TRAIN,TE22,1684,4499
2025-03,WEEKDAY,9,TRAIN,SW6,5806,1819
2025-03,WEEKENDS/HOLIDAY,11,TRAIN,TE15,5153,6623
2025-03,WEEKDAY,10,TRAIN,CC23,3893,31429
2025-03,WEEKDAY,23,TRAIN,TE19,2292,412
2025-03,WEEKDAY,21,TRAIN,DT13,10962,7806
2025-03,WEEKENDS/HOLIDAY,14,TRAIN,DT2,824,859
2025-03,WEEKDAY,19,TRAIN,CC26,12958,6512
2025-03,WEEKENDS/HOLIDAY,17,TRAIN,EW5,20845,24655
2025-03,WEEKENDS/HOLIDAY,0,TRAIN,DT13,140,340
2025-03,WEEKDAY,9,TRAIN,DT27,11073,17285
2025-03,WEEKDAY,19,TRAIN,PE3,4814,14411
2025-03,WEEKDAY,11,TRAIN,EW4,13190,5880
2025-03,WEEKENDS/HOLIDAY,16,TRAIN,SW5,4616,4457
2025-03,WEEKENDS/HOLIDAY,5,TRAIN,NE14,1435,142
2025-03,WEEKDAY,17,TRAIN,CC27,38496,2757
2025-03,WEEKDAY,22,TRAIN,PE2,641,6157
2025-03,WEEKDAY,10,TRAIN,CC21,6740,10566
2025-03,WEEKENDS/HOLIDAY,17,TRAIN,BP2,1669,1561
2025-03,WEEKDAY,15,TRAIN,NS25/EW13,45296,40116
2025-03,WEEKDAY,10,TRAIN,NE1/CC29,14869,66886
2025-03,WEEKENDS/HOLIDAY,6,TRAIN,NS25/EW13,1161,5537
2025-03,WEEKENDS/HOLIDAY,11,TRAIN,NE9,15574,9825
2025-03,WEEKENDS/HOLIDAY,14,TRAIN,TE4,3272,2258
2025-03,WEEKENDS/HOLIDAY,18,TRAIN,SW8,1100,1292
2025-03,WEEKENDS/HOLIDAY,12,TRAIN,CC25,4578,2660
2025-03,WEEKENDS/HOLIDAY,10,TRAIN,DT10,2818,1404
2025-03,WEEKDAY,12,TRAIN,EW18,17065,12947
2025-03,WEEKENDS/HOLIDAY,15,TRAIN,NS13,27477,29644
2025-03,WEEKDAY,21,TRAIN,BP9,1973,2278
2025-03,WEEKDAY,16,TRAIN,DT29,4809,7879
